,mean,std,percentile_99.5,percentile_0.5,all_zeros,cv,kurtosis,skewness
pairwise_variability_index,0.4474265271984,0.024023053315438254,0.5171000807756426,0.38828429737667486,False,0.053691616064565253,1.780014562966536,0.38704440479644736
compute_zipfian_loss,0.011644515439054086,0.106430073270244,0.3642016405762197,-0.14994132147676204,False,9.139931483391084,216.04672798918432,7.216915854258364
frequent_delimiters_rate,0.0894180721862322,0.02164410236353896,0.1858266592576353,0.04427044820265719,False,0.24205512190489306,8.962202857366991,1.6358940348379925
preposition_usage_in,0.16750992436379106,0.04916501857119723,0.3333333333333333,0.06455802262253868,False,0.293505108774467,21.42112906762115,2.05507752913802
preposition_usage_of,0.3275772251730817,0.07292161463755813,0.5279526546015948,0.127311411992263,False,0.2226089270981174,0.5916103667138608,0.014594895985395461
preposition_usage_to,0.20021978119788222,0.0592263843681672,0.38145294441386823,0.0595238095238095,False,0.29580685791296657,0.6080487304264492,0.3890385514270243
preposition_usage_for,0.058518041781527766,0.03078581292582205,0.17323755429335014,0.0,False,0.5260909625232901,4.121595632850361,1.2280321901855045
preposition_usage_with,0.048439330951083964,0.025718189539942385,0.1468344988344987,0.0,False,0.5309361016136592,7.960987285774605,1.5848468613022058
preposition_usage_on,0.040330553549562234,0.025473156800557218,0.14129156010230168,0.0,False,0.6316094017716183,3.962164027334392,1.391675316092429
preposition_usage_at,0.0313116714795032,0.022852608666201545,0.1308004876066638,0.0,False,0.7298431411162766,5.419751116312151,1.6952238824534156
preposition_usage_by,0.049879707603544515,0.024332718238124343,0.13217306441119056,0.0,False,0.4878280047574944,4.279822317365441,1.118684388808511
preposition_usage_from,0.03626476362982714,0.021143891039844053,0.1176470588235294,0.0,False,0.5830422957025306,5.054300057672576,1.4366200933164923
preposition_usage_up,0.007330640412868765,0.009577619311721753,0.05,0.0,False,1.3065187722082876,28.36297927206092,3.468990208519285
preposition_usage_about,0.007914736222739839,0.010468772176544938,0.05552763819095462,0.0,False,1.322693755284869,14.533914218201872,2.7879874652813363
preposition_usage_into,0.011843311691455728,0.011546649788965505,0.05995238095238078,0.0,False,0.9749511023420714,7.018130291848982,1.9251846154921832
preposition_usage_over,0.006211745545061936,0.008362778756494983,0.04429336972440403,0.0,False,1.3462848237792069,19.71202100329556,3.0110748562832224
preposition_usage_after,0.006648566398069413,0.008620857562948845,0.046662521561233745,0.0,False,1.2966490889603115,10.509165556826797,2.446977638244902
lessfrequent_delimiters_rate,0.006215162942520655,0.006524711621266741,0.04171628776689294,0.0,False,1.0498054003746753,42.463356939979434,4.490183244627161
parentheticals_and_brackets_rate,0.003109632454722599,0.005536361225698949,0.03078388339061642,0.0,False,1.7803908681525615,25.698546081526363,3.8093855306222206
calculate_cumulative_syntactic_complexity,144.36698518210775,76.89994712819761,517.0,16.1,False,0.5326698970072298,37.45014624889988,3.3006696477487085
average_syntactic_branching_factor,2.3398041562846306,0.8034745992098538,5.231428571428564,0.4569433306602512,False,0.3433939533151737,3.282052873667257,0.9895476312148039
calculate_structural_complexity_index,15.824294332864696,4.673739054316211,34.57758620689653,7.050300480769231,False,0.29535213109690167,29.582753462884057,2.7793193196505124
lexical_overlap,0.7810943883466166,0.05628369874767073,0.9124698496311713,0.585103025144519,False,0.07205748701742613,1.8423562747310482,-0.5563674659958989
analyze_passiveness_average_passiveness,0.3138196814362463,0.12514746737181762,0.6865714285714283,0.05133903133903126,False,0.39878782235409865,0.10559924941521626,0.4862129080339618
analyze_passiveness_std_passiveness,0.3936697189411642,0.05686285406427214,0.47478140169254385,0.16113307062557622,False,0.1444430478859629,4.6276256821186745,-1.600580741821751
ratio_of_cleft_sentences,0.19704556054624447,0.10322432577192313,0.5384615384615384,0.0,False,0.5238601950014372,0.8766652536681447,0.718656966190573
calculate_noun_overlap,0.7736118189971027,0.13288516375779114,0.972972972972973,0.29770788912579954,False,0.17177240638601052,1.394023072852618,-1.0585589855267705
pronoun_sentence_opening_ratio,0.1757381099394622,0.09793668063574397,0.5,0.0,False,0.5572876632705389,0.7941726203593866,0.6933611003907796
ratio_of_sentence_initial_conjunctions,0.0,0.0,0.0,0.0,True,0,,
calculate_fronted_adverbial_ratio,0.19297104425741698,0.08675601069835508,0.4736842105263157,0.0,False,0.4495804592456132,0.99606784565001,0.6393975842599743
rare_words_ratio,0.5828759554020041,0.04987353806236883,0.8019388750910051,0.4863587857979655,False,0.08556458299600216,4.545284719707674,1.3333219006995578
summer_index,2.496198288208304,0.5410513667310229,4.447686658006567,1.765242169227481,False,0.21675015534097386,422.7829630716806,13.259647544299348
dale_chall_complex_words_rate,0.1655672691521757,0.03712528682771009,0.28667500547234104,0.07340906479806089,False,0.22423083389499893,0.9827235593620336,0.3659738172965066
guirauds_index,13.491207640336253,2.185093172882484,19.045703476678217,7.700530605108089,False,0.16196423857190173,0.18708971605845592,-0.2487164039641632
syll_per_word,2.835619112403298,0.25054880136101887,3.431313025210083,1.7994069338389793,False,0.08835770652874073,5.109270897583864,-1.0094851897794688
average_sentence_length,29.30878450944476,8.748946667785027,64.88467432950188,13.166653681340085,False,0.29850936551004625,33.6713526292269,2.9747355093860506
normalized_assonance,0.0,0.0,0.0,0.0,True,0,,
normalized_alliteration,0.024052469150390863,0.006190273016253486,0.04174309175568596,0.007556551806923521,False,0.25736538637875733,0.7303607268504417,0.2281448064932473
tempo_variation,23.37548136911484,9.821347066752953,67.1695450312872,10.024639652242865,False,0.42015592798570284,45.254310883839885,4.010364640886316
rhythmic_complexity,0.49639589422959063,0.004848137407511459,0.49999979607002093,0.47492110975200785,False,0.009766675075014062,34.77133514207682,-3.8177680837604977
complex_words_rate,0.5250329838563229,0.04237736672709302,0.6148584144918571,0.3371474498552655,False,0.08071372281382179,9.179107929310566,-1.7564516074041252
